Energy,Exact,Mix8Av,Kav,Tav,H30av,H60av,H90av,MixBasis0,KBasis0,TBasis0,H30Basis0,H60Basis0,H90Basis0
23.3333333333333,1008.7860861826,6.2614896754816E-06,1.29924504789821E-05,1.1957569843192E-05,9.5584935748176E-06,1.35952563720994E-05,7.6913708295568E-06,1008.78716632157,1008.80311464132,1008.81902844772,1008.74677608591,1008.68805983699,1008.79309555228
23.6666666666667,1020.08690677569,6.33050545692943E-06,1.24388643118635E-05,1.12559882607043E-05,9.06210312482215E-06,1.16175750502378E-05,7.29391745332128E-06,1020.08587961577,1020.10359476721,1020.11810326917,1020.04942389712,1020.00269116387,1020.08772104023
24,1031.39541559813,6.55025931155566E-06,1.19836598910015E-05,1.08643246761497E-05,8.60724505063893E-06,1.08554402762228E-05,7.80272091809262E-06,1031.39297928945,1031.41172276837,1031.42505371863,1031.3592502547,1031.32347278868,1031.39140125755
24.3333333333333,1042.68642112608,6.85417279868159E-06,1.1660081666077E-05,1.06237558723335E-05,8.31635897729654E-06,1.15539597698526E-05,8.37130132232426E-06,1042.68297284972,1042.70234102615,1042.71477315181,1042.65155554704,1042.62551515053,1042.67787767538
24.6666666666667,1053.99402426371,7.16866703697416E-06,1.14088636622743E-05,1.04695067023973E-05,8.06949938906271E-06,1.18282512733949E-05,8.95060674412157E-06,1053.98974762663,1054.00958084919,1054.02146102252,1053.96083274948,1053.94259097663,1053.98031939311
25,1065.29018761897,7.41247456851277E-06,1.12245989132618E-05,1.03704462155658E-05,7.96519152665678E-06,1.13245467061166E-05,9.58071144937925E-06,1065.28520864518,1065.30542938778,1065.31718396895,1065.259163243,1065.24652697183,1065.27147989511
25.3333333333333,1076.50855697322,7.59254271887246E-06,1.11515968643662E-05,1.03169774522296E-05,8.05142828824963E-06,1.0552444708189E-05,1.00000017362642E-05,1076.50301136861,1076.52356808107,1076.53568325799,1076.47995744453,1076.47099276927,1076.4861547575
25.6666666666667,1087.6838861674,7.73422885893041E-06,1.10960559178287E-05,1.040316560836E-05,8.10514818684387E-06,1.0035963817497E-05,1.01944195983714E-05,1087.67787592354,1087.69876263322,1087.7116378199,1087.65758305103,1087.65092281327,1087.65922653644
26,1098.76141818056,7.80982620980916E-06,1.10518477963824E-05,1.05795714268619E-05,8.11364107927175E-06,9.51548568288068E-06,1.02077477265727E-05,1098.75496911626,1098.77627131785,1098.78994300638,1098.73691662308,1098.73176777864,1098.73555743883
26.3333333333333,1109.78751072913,7.84573628373928E-06,1.10380237851511E-05,1.06646804984073E-05,8.26544622574006E-06,9.3030629708792E-06,1.02800915098199E-05,1109.78056687839,1109.80245086232,1109.81625972898,1109.76413299139,1109.76012443743,1109.76112609489
26.6666666666667,1120.72076302906,7.84996391477422E-06,1.10188973194732E-05,1.05785472433905E-05,8.84553702344516E-06,9.23973805380751E-06,1.02950535463429E-05,1120.71321191652,1120.73588834945,1120.74846455427,1120.6978032256,1120.69481447892,1120.69426937956
27,1131.48812899667,7.85462608608787E-06,1.09399576602469E-05,1.03045498496539E-05,9.20456254451219E-06,9.26473994164998E-06,1.023721783256E-05,1131.47985334082,1131.50351512201,1131.51329049452,1131.46494375216,1131.46299535398,1131.4617735604
27.3333333333333,1142.17286277343,7.98759124036203E-06,1.07810413984933E-05,9.89295470335961E-06,9.78832092152963E-06,9.34301154751371E-06,1.02389635237502E-05,1142.16378282063,1142.1885474406,1142.19436885653,1142.14890831575,1142.14811615188,1142.14677851253
27.6666666666667,1152.69606679528,8.10895846642093E-06,1.05480071674129E-05,9.39819392049667E-06,1.0457230647494E-05,9.48501489778381E-06,1.02751357156954E-05,1152.68616080124,1152.71205304969,1152.71343306898,1152.67089484232,1152.67147077812,1152.67032049609
28,1163.08191665123,8.21663709408668E-06,1.03104475020609E-05,8.85825911837681E-06,1.11265621758549E-05,9.67135666789619E-06,1.03146724654755E-05,1163.07121523366,1163.09817296792,1163.09513706428,1163.05517229127,1163.05746484042,1163.05653432606
28.3333333333333,1173.3325634844,8.31142671164991E-06,1.00912603907633E-05,8.29909435184644E-06,1.18805440442159E-05,9.86907901899598E-06,1.03615365752285E-05,1173.32114599398,1173.34903745695,1173.34189182438,1173.3039826408,1173.30855943002,1173.30755552465
